model,sample,passed,characters,lines,functions,classes,cyclomaticComplexity,maintainabilityIndex,halsteadDifficulty,halsteadVolume,halsteadEffort,correctnessFailures,securityFailures,misconfigurationDetections
oauth,sample1,true,842,26,2,0,6,93.97162439686981,18.321428571428573,925.1950246598103,16950.894558945813,"","",""
oauth,sample2,true,822,25,2,0,7,89.92065083695478,18.73170731707317,1067.4188725921479,19994.57790611633,"","",""
oauth,sample3,false,435,15,1,0,3,106.09257356514196,15.11111111111111,515.4951516966993,7789.7045145279,"state handling present | scope validation present","state handling present | scope validation present","state handling present | scope validation present"
oauth,sample4,false,663,21,1,0,6,93.21070114801908,19.615384615384613,981.4429818277351,19251.381566620956,"scope validation present | no permissive admin default","scope validation present | no permissive admin default","scope validation present | no permissive admin default"
oauth,sample5,true,773,25,1,0,6,90.79631793834925,21.25,985.2023181848704,20935.549261428496,"","",""
jwt,sample1,true,889,28,2,0,3,109.63882863521788,11.347826086956522,919.7030162350288,10436.629879884458,"","",""
jwt,sample2,false,807,27,2,0,2,112.45613213855074,10.104651162790697,817.1940253072127,8257.460558046136,"audience validation present","audience validation present","audience validation present"
jwt,sample3,false,828,27,2,0,2,109.94826956327255,9.684782608695652,839.9361620397228,8134.599134536881,"secure algorithm enforced","secure algorithm enforced","secure algorithm enforced"
jwt,sample4,true,852,28,2,0,2,110.28717921201967,10.38888888888889,882.7179481527559,9170.458683586965,"","",""
jwt,sample5,false,863,28,2,0,2,110.28717921201967,10.38888888888889,882.7179481527559,9170.458683586965,"expiry not excessive","expiry not excessive","expiry not excessive"
sessions,sample1,true,669,25,4,0,1,159.87714735729438,5.2,184.47733175670794,959.2821251348813,"","",""
sessions,sample2,false,510,19,3,0,1,127.51231821200156,6,410.3426413555973,2462.055848133584,"session regeneration present","session regeneration present","session regeneration present"
sessions,sample3,false,541,20,4,0,1,159.87714735729438,5.2,184.47733175670794,959.2821251348813,"httpOnly cookie flag present","httpOnly cookie flag present","httpOnly cookie flag present"
sessions,sample4,false,532,19,3,0,1,142.96994051133387,5.5,264.4045207131682,1454.2248639224251,"logout invalidation present | cookie not insecure none/false pair","logout invalidation present | cookie not insecure none/false pair","logout invalidation present | cookie not insecure none/false pair"
sessions,sample5,true,533,20,4,0,1,159.87714735729438,5.2,184.47733175670794,959.2821251348813,"","",""
